artist_name,artist_id
Cool Calm Pete,761
Coque Malla,762
Cordae,763
Cordell Zoe,764
Corinne Bailey Rae,765
Cornershop,766
Cortando Troncos,767
Cory Weeds,768
Cory Wong,769
Cosculluela,770
Cosmo's Midnight,771
Coti,772
Coty Inc.,773
Couch,774
Coucheron,775
Count Basie,776
Counting Crows,777
Courier,778
Courtney Barnett,779
Craig Alston,780
Craig Armstrong,781
Craig Cardiff,782
Craig David,783
Craig Finn,784
Craig Sharmat,785
Crazibiza,786
Cream,787
Creed Bratton,788
Creedence Clearwater Revival,789
Cristian Castro,790
Crooked Colours,791
Crooked Fingers,792
Crooked Still,793
Crosby & Nash,794
"Crosby, Stills & Nash",795
"Crosby, Stills, Nash & Young",796
Crystal Fighters,797
Cuco,798
Curren$y,799
Curry & Krawall,800
Cut Worms,801
Cutting Crew,802
Cypress Hill,803
Czech National Symphony Orchestra,804
Czech Philharmonic,805
Céline Dion,806
César Franck,807
Código FN,808
Cómplices,809
DCS,810
DELLAFUENTE,811
DJ Antoine,812
DJ Harrison,813
DJ Kelvin El Sacamostro,814
DJ Khaled,815
DJ Redblack,816
DJ Snake,817
DJ Who,818
DJ Ötzi,819
DJane HouseKat,820
DNCE,821
DOPE LEMON,822
DaBaby,823
Daddy Yankee,824
Daft Punk,825
Dale Watson,826
Dalex,827
Dalton,828
Damien Jurado,829
Damien Rice,830
Dan + Shay,831
Dan Auerbach,832
Dan Berk,833
Dan Eifler,834
Dan Evans-Parker,835
Dan Lacksman,836
Dana Boulé,837
Danco,838
Danger Mouse,839
Dani Martín,840
Daniel Caesar,841
Daniel Colin,842
Daniel Jang,843
Daniel Johnston,844
Daniel Lanois,845
Daniel May,846
Daniel Norgren,847
Daniel Quién,848
Daniel Romano,849
"Daniel, Me Estás Matando",850
Daniela Petrová,851
Daniela Spalla,852
Daniele Silvestri,853
Danna Paola,854
Danny Ocean,855
Danny Romero,856
Danny Walgreen,857
Daphni,858
Darell,859
Darius Rucker,860
Dark Waves,861
Darlene Love,862
Darlingside,863
Darondo,864
Daryl Hall & John Oates,865
Das Sound Machine,866
Dasha,867
Daughtry,868
Dave Matthews Band,869
Dave Van Ronk,870
David Arden,871
David Axelrod,872
David Bisbal,873
David Bowie,874
David Byrne,875
David Duchovny,876
David Dundas,877
David Fitzpatrick Trio,878
David Foster,879
David Gilmour,880
David Gray,881
David Guetta,882
David Hazeltine,883
David Keller,884
David Kushner,885
David Maman,886
David McCallum,887
