track_id,track_name,image_url
0pd7z7tGxUhsiVrLy3TP1h,By The Time,https://i.scdn.co/image/ab67616d0000b273fecbcc8cc42959377a154bfd
10Nmj3JCNoMeBQ87uw5j8k,Dani California,https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517
13Mh55MPFYy2O6uby9061n,Shoot Me Down,https://i.scdn.co/image/ab67616d0000b27333ebdffaa447ff19ce9f24bb
14T1uuAGO0wFgQQ3IXzKfD,Chasing Palm Trees,https://i.scdn.co/image/ab67616d0000b2732411d19840b75136da69e213
1928IVumlnhigNLs0bl1B7,San Francisco - Alex Schulz Remix,https://i.scdn.co/image/ab67616d0000b27357b0d10ffad64dcdbbf0a9a7
1CZw0Lymzi2Lvy1XZ6rXh5,Oxford Comma,https://i.scdn.co/image/ab67616d0000b2737749a08ddab9edbe427e9876
1Ud7FWi7UXYXzDsOnkQYMU,Winds of Change,https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094
1XLJxAcTdnMIeQpsvdfkSv,One More Cup of Coffee - Recorded at Spotify Studios NYC,https://i.scdn.co/image/ab67616d0000b273e489274cd2fde37daee277c5
1XxRYmDKuABtbtCozx3pA2,Me & Magdalena,https://i.scdn.co/image/ab67616d0000b273f9a22792e0a707a36f8e187f
1d1FNmfO3dFlH8873yNFX3,Five Pieces For Violin And Piano: I. Elegia (Andante Larghetto),https://i.scdn.co/image/ab67616d0000b2733ca67c1056118f129863b108
1mlGScrDQqHqmhdIqE8MmA,Besos En Guerra,https://i.scdn.co/image/ab67616d0000b27390fa215e791c13fe9bacb8bc
1s48OStuuHGNufdC3aRoXf,Simple Feelings,https://i.scdn.co/image/ab67616d0000b273dccb35d2353f037ccd78df28
1y4Kln6VEjQMpmHW7j9GeY,Cut Your Teeth - Kygo Remix,https://i.scdn.co/image/ab67616d0000b2738fa61ea1950383f2927999a4
2BITPXNQ15DTL6yiaCByPI,Illuminé,https://i.scdn.co/image/ab67616d0000b2737aec659e90b0ef02a1e5af3d
2SlVkh6auFn0EWdAGXoP9W,Hellhound On My Trail,https://i.scdn.co/image/ab67616d0000b273ae6a3ee0011c8bb0f38aa873
2daZovie6pc2ZK7StayD1K,Dead Inside,https://i.scdn.co/image/ab67616d0000b273808846f0223d97d5963c420d
2mVT3308uLB8s5voUfmnY4,The Best in Me,https://i.scdn.co/image/ab67616d0000b2730706c791c1d3bac942225105
2wh66N0HWVzwSB0KV7mdQ6,"Keep Your Hands Off My Baby - Live At The BBC For ""Saturday Club"" / 26th January, 1963",https://i.scdn.co/image/ab67616d0000b273c4821abf3351f0eedd6aff3b
3CAX47TnPqTujLIQTw8nwI,Old Pine,https://i.scdn.co/image/ab67616d0000b27325d10f813fd1114b2bb9e39a
3GhcNCBIEMyrcpCJ8ccvXr,Public Service Announcement,https://i.scdn.co/image/ab67616d0000b2739bef45ee387f274ea3198c55
3RNyGLgSvmVRZ7xKUp8Wgd,In the Summertime,https://i.scdn.co/image/ab67616d0000b2739bf5b1980b271ad321e73b0f
3TUyKp7PYJ0xAkENzMS6T3,"Memory - From ""Cats""",https://i.scdn.co/image/ab67616d0000b273c422d1f6566f2c43172d6724
3piSeZsUx79vyAJYMpODvy,Due Tramonti,https://i.scdn.co/image/ab67616d0000b2739db98350bf9e959ac70090df
3rAaXQAxdJBxUPcST5MvEj,Venus In Furs,https://i.scdn.co/image/ab67616d0000b2739759797d8f426b634fde281d
3rJhwjQGHY0CLfH14VSFDq,Bold as Love,https://i.scdn.co/image/ab67616d0000b273511390c0243358093e004866
3xRcQ04b0l5RiU2w7lJhCD,Bad,https://i.scdn.co/image/ab67616d0000b2734b32688c63234ca628de1cc9
3yVnBKYkQR2LFEhL1htZ2G,I Wanna Go Out,https://i.scdn.co/image/ab67616d0000b273e0eaff2b6e82c921740a43b0
43EVN2D60aYJf8PMuGuQH9,El pianista del gueto de Varsovia,https://i.scdn.co/image/ab67616d0000b273ffbb66eddb82445e0c9c6cb4
4KCIR5WfyhPPeTy8KQzMXf,Sabes A Chocolate,https://i.scdn.co/image/ab67616d0000b273705081b3e764847f6e600a58
4KmyK4XrM3tbfhLrjobeap,Survival,https://i.scdn.co/image/ab67616d0000b2733c65085a58aae2cccd892cbe
4PxDHEEyHgYC6NUgqMtDFy,Bom Bidi Bom,https://i.scdn.co/image/ab67616d0000b2735997605214d568d73fd365c2
4QLPUyOsRUTnoW8h7HFbZX,Mala Gente,https://i.scdn.co/image/ab67616d0000b27323a1613112c1ecf946f51177
4VohsQwrtb7lj1yO0dFKJa,Hookah & Sheridan s,https://i.scdn.co/image/ab67616d0000b273282894039fc23c878188ea4f
4WWYBTpa9J6A7RZht1LtzW,Inolvidable,https://i.scdn.co/image/ab67616d0000b273433ad2097609a2f40bb76919
4vVtBq3C4ABjB5X2VW4yha,Psycho Daisies,https://i.scdn.co/image/ab67616d0000b273a25e1ecf7491ad71b2c440e4
4yrloqLBKS7Pi3z7g2HDga,Somebody to Love,https://i.scdn.co/image/ab67616d0000b273bbeb3427487bea7fa87c1061
52zQ6Ur4gWI7FLzKsGVq3Q,Long Haired Lady - 1993 Digital Remaster,https://i.scdn.co/image/ab67616d0000b273bccd207916db2264e8b57451
5Cu6jww9mW9317FVDGohuj,New York,https://i.scdn.co/image/ab67616d0000b273dfba96848555cfa1d56ec124
5DDdjXYnpckAQXE1m8B0i3,The Battle of the Hornburg,https://i.scdn.co/image/ab67616d0000b2730f4bf5c96c9ee54fa00944c4
5dvGbMSVrQdf5Yjpw1afww,Jamaica Jerk-Off - Remastered 2014,https://i.scdn.co/image/ab67616d0000b273f5b95dce2bc9db5ed3f8028f
5fohLPNqO6TqwrZ7BoUWUT,High For This,https://i.scdn.co/image/ab67616d0000b273b298538481c52f7e217ed000
5jR7az62F3VLf9NhtDB3qV,Final Theme,https://i.scdn.co/image/ab67616d0000b2736c86683d20c72e3874c11c6d
5uVji14OWpj9HMKLXdhjAv,This Summer,https://i.scdn.co/image/ab67616d0000b273442b53773d50e1b5369bb16c
